protein,com_id,com_pubchem_id,prob
SIR1,COM00001695,289,1.0
IGF1,COM00002506,996,1.0
SIR1,COM00002506,996,0.98
SIR1,COM00002631,785,0.98
SIR1,COM00003354,790,0.98
IGF1,COM00000996,6137,0.98
SIR3,COM00004018,25322948,0.98
SIR2,COM00001188,6037,0.98
SIR1,COM00005149,942,0.98
IGF1,COM00002234,702,0.96
SIR1,COM00000058,5280343,0.96
SIR1,COM00000718,5280961,0.96
SIR1,COM00002122,46937002,0.96
BECN1,COM00000363,2969,0.96
BECN1,COM00002278,3893,0.96
BECN1,COM00004930,5280795,0.96
SIR1,COM00002627,6013,0.96
BECN1,COM00004908,379,0.96
BECN1,COM00004629,5283731,0.96
SIR1,COM00003588,10836,0.96
SIR1,COM00000369,46936757,0.96
SIR1,COM00005189,47936,0.96
SIR1,COM00006158,1032,0.96
BECN1,COM00002659,10430,0.96
BECN1,COM00003181,12530,0.96
BECN1,COM00001123,264,0.96
BECN1,COM00002683,7991,0.96
SIR1,COM00004629,5283731,0.96
BECN1,COM00000583,6590,0.94
IGF1,COM00002631,785,0.94
SIR1,COM00001237,5280863,0.94
SIR2,COM00003354,790,0.94
SIR1,COM00000205,2519,0.94
BECN1,COM00001695,289,0.94
SIR1,COM00000850,3662,0.94
SIR1,COM00001123,264,0.94
SIR1,COM00003074,439246,0.92
IGF1,COM00000666,445154,0.92
BECN1,COM00005149,942,0.92
SIR1,COM00005500,444863,0.92
BECN1,COM00003218,440995,0.92
SIR1,COM00003488,637517,0.92
SIR1,COM00000320,107971,0.92
SIR1,COM00004930,5280795,0.92
BECN1,COM00002631,785,0.92
SIR1,COM00003218,440995,0.92
IGF1,COM00001695,289,0.9
SIR1,COM00002659,10430,0.9
SIR1,COM00002683,7991,0.9
SIR1,COM00000014,6089,0.9
SIR1,COM00002137,6912,0.9
BECN1,COM00000058,5280343,0.9
SIR1,COM00006234,5282745,0.9
IGF1,COM00004948,24417,0.9
SIR1,COM00000994,5280934,0.9
SIR1,COM00000666,445154,0.9
BECN1,COM00004835,743,0.9
SIR1,COM00002278,3893,0.88
IGF1,COM00002627,6013,0.88
BECN1,COM00001306,385,0.88
CDN2A,COM00001188,6037,0.88
BECN1,COM00000998,1110,0.88
IGF1,COM00001180,2879,0.88
IGF1,COM00005149,942,0.88
SIR1,COM00004908,379,0.88
IGF1,COM00003218,440995,0.88
BECN1,COM00006492,311,0.88
SIR3,COM00001188,6037,0.88
BECN1,COM00000666,445154,0.88
BECN1,COM00002506,996,0.88
SIR1,COM00000363,2969,0.88
SIR1,COM00000583,6590,0.88
SIR1,COM00003181,12530,0.88
SIR2,COM00003588,10836,0.86
SIR1,COM00006020,5281672,0.86
BECN1,COM00003588,10836,0.86
BECN1,COM00005500,444863,0.86
BECN1,COM00001237,5280863,0.86
BECN1,COM00003074,439246,0.86
BECN1,COM00000758,1060,0.86
BECN1,COM00006158,1032,0.86
BECN1,COM00005439,79034,0.86
IGF1,COM00005599,3715,0.86
SIR1,COM00004730,342,0.84
SIR1,COM00000890,2153,0.84
SIR1,COM00002234,702,0.84
SIR1,COM00004561,46936484,0.84
SIR1,COM00002929,14985,0.84
IGF1,COM00004730,342,0.84
SIR1,COM00004134,5429,0.84
