UniprotID;Uniprot Name;Ligand SMILES;PubChem_CID
Q14457;BCL2_HUMAN;COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42;2179
Q14457;BCL2_HUMAN;CC(=O)C1=CC(=C(C=C1)O)OC;2214
Q14457;BCL2_HUMAN;COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O;2236
Q14457;BCL2_HUMAN;CCNC1=NC(=NC(=N1)Cl)NC(C)C;2256
Q14457;BCL2_HUMAN;COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1;2268
Q14457;BCL2_HUMAN;C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3;2336
Q14457;BCL2_HUMAN;CCOC(=O)C1=CC=C(C=C1)N;2337
Q14457;BCL2_HUMAN;COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC;2353
Q14457;BCL2_HUMAN;COC1=C2C=CC(=O)OC2=CC3=C1C=CO3;2355
Q14457;BCL2_HUMAN;CS(=O)(=O)OCCCCOS(=O)(=O)C;2478
Q14457;BCL2_HUMAN;CN1C=NC2=C1C(=O)N(C(=O)N2C)C;2519
Q14457;BCL2_HUMAN;C(C(CO)OP(=O)(O)O)O;2526
Q14457;BCL2_HUMAN;CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O;2541
Q14457;BCL2_HUMAN;C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N;2554
Q14457;BCL2_HUMAN;C1CC(C1)(C(=O)O)C(=O)O;2568
Q14457;BCL2_HUMAN;C(CCl)NC(=O)N(CCCl)N=O;2578
Q14457;BCL2_HUMAN;COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O;2585
Q14457;BCL2_HUMAN;C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N;2603
Q14457;BCL2_HUMAN;CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl;2719
Q14457;BCL2_HUMAN;CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl;2730
Q14457;BCL2_HUMAN;C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1;2788
Q14457;BCL2_HUMAN;CC1=CC=C(C=C1)O;2879
Q14457;BCL2_HUMAN;C1CNP(=O)(OC1)N(CCCl)CCCl;2907
Q14457;BCL2_HUMAN;CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O;2973
Q14457;BCL2_HUMAN;CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC;3026
Q14457;BCL2_HUMAN;C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl;3035
Q14457;BCL2_HUMAN;CCN(CC)C(=S)SSC(=S)N(CC)CC;3117
