UniprotID;Uniprot Name;Ligand SMILES;PubChem_CID
Q14457;BCL2_HUMAN;;14219
Q14457;BCL2_HUMAN;;14296
Q14457;BCL2_HUMAN;;14457
Q14457;BCL2_HUMAN;;14805
Q14457;BCL2_HUMAN;;14806
Q14457;BCL2_HUMAN;;14833
Q14457;BCL2_HUMAN;;15096
Q14457;BCL2_HUMAN;;15625
Q14457;BCL2_HUMAN;;15939
Q14457;BCL2_HUMAN;;17513
Q14457;BCL2_HUMAN;;18617
Q14457;BCL2_HUMAN;;20392
Q14457;BCL2_HUMAN;;20393
Q14457;BCL2_HUMAN;;23448
Q14457;BCL2_HUMAN;;23932
Q14457;BCL2_HUMAN;;23973
Q14457;BCL2_HUMAN;;23978
Q14457;BCL2_HUMAN;;23994
Q14457;BCL2_HUMAN;;24261
Q14457;BCL2_HUMAN;;24360
Q14457;BCL2_HUMAN;;24385
Q14457;BCL2_HUMAN;;24424
Q14457;BCL2_HUMAN;;24462
Q14457;BCL2_HUMAN;;24480
Q14457;BCL2_HUMAN;;24502
Q14457;BCL2_HUMAN;;24775
Q14457;BCL2_HUMAN;;24823
Q14457;BCL2_HUMAN;;24934
Q14457;BCL2_HUMAN;;24947
Q14457;BCL2_HUMAN;;25408
Q14457;BCL2_HUMAN;;25517
Q14457;BCL2_HUMAN;;26042
Q14457;BCL2_HUMAN;;26177
Q14457;BCL2_HUMAN;;26879
Q14457;BCL2_HUMAN;;27924
Q14457;BCL2_HUMAN;;28179
Q14457;BCL2_HUMAN;;29131
Q14457;BCL2_HUMAN;;29327
Q14457;BCL2_HUMAN;;31211
Q14457;BCL2_HUMAN;;31703
Q14457;BCL2_HUMAN;;33775
Q14457;BCL2_HUMAN;;35823
Q14457;BCL2_HUMAN;;36314
Q14457;BCL2_HUMAN;;37248
Q14457;BCL2_HUMAN;;39484
Q14457;BCL2_HUMAN;;39676
Q14457;BCL2_HUMAN;;39800
Q14457;BCL2_HUMAN;;39836
Q14457;BCL2_HUMAN;;40024
Q14457;BCL2_HUMAN;;40585
Q14457;BCL2_HUMAN;;41867
Q14457;BCL2_HUMAN;;44259
Q14457;BCL2_HUMAN;;47576
Q14457;BCL2_HUMAN;;50367
Q14457;BCL2_HUMAN;;51683
Q14457;BCL2_HUMAN;;54454
Q14457;BCL2_HUMAN;;54900
Q14457;BCL2_HUMAN;;60823
Q14457;BCL2_HUMAN;;62923
Q14457;BCL2_HUMAN;;64735
Q14457;BCL2_HUMAN;;64927
Q14457;BCL2_HUMAN;;65064
Q14457;BCL2_HUMAN;;65312
Q14457;BCL2_HUMAN;;65411
Q14457;BCL2_HUMAN;;65981
Q14457;BCL2_HUMAN;;66166
Q14457;BCL2_HUMAN;;67734
Q14457;BCL2_HUMAN;;67822
Q14457;BCL2_HUMAN;;68296
Q14457;BCL2_HUMAN;;68740
Q14457;BCL2_HUMAN;;71388
Q14457;BCL2_HUMAN;;71905
Q14457;BCL2_HUMAN;;72281
Q14457;BCL2_HUMAN;;73078
Q14457;BCL2_HUMAN;;73384
Q14457;BCL2_HUMAN;;73597
Q14457;BCL2_HUMAN;;74483
Q14457;BCL2_HUMAN;;77222
Q14457;BCL2_HUMAN;;77999
Q14457;BCL2_HUMAN;;84298
Q14457;BCL2_HUMAN;;89594
Q14457;BCL2_HUMAN;;91466
Q14457;BCL2_HUMAN;;91550
Q14457;BCL2_HUMAN;;92427
Q14457;BCL2_HUMAN;;96356
Q14457;BCL2_HUMAN;;104955
Q14457;BCL2_HUMAN;;104993
Q14457;BCL2_HUMAN;;107526
Q14457;BCL2_HUMAN;;107901
Q14457;BCL2_HUMAN;;107969
Q14457;BCL2_HUMAN;;107985
Q14457;BCL2_HUMAN;;108168
Q14457;BCL2_HUMAN;;108223
Q14457;BCL2_HUMAN;;110635
Q14457;BCL2_HUMAN;;114481
Q14457;BCL2_HUMAN;;121396
Q14457;BCL2_HUMAN;;122724
Q14457;BCL2_HUMAN;;122738
Q14457;BCL2_HUMAN;;123631
Q14457;BCL2_HUMAN;;126941
Q14457;BCL2_HUMAN;;154279
Q14457;BCL2_HUMAN;;161557
Q14457;BCL2_HUMAN;;162859
Q14457;BCL2_HUMAN;;165688
Q14457;BCL2_HUMAN;;174706
Q14457;BCL2_HUMAN;;175805
Q14457;BCL2_HUMAN;;176155
Q14457;BCL2_HUMAN;;176408
Q14457;BCL2_HUMAN;;176871
Q14457;BCL2_HUMAN;;177880
Q14457;BCL2_HUMAN;;186907
Q14457;BCL2_HUMAN;;222757
Q14457;BCL2_HUMAN;;246598
Q14457;BCL2_HUMAN;;253602
Q14457;BCL2_HUMAN;;312145
Q14457;BCL2_HUMAN;;352938
Q14457;BCL2_HUMAN;;387447
Q14457;BCL2_HUMAN;;439533
Q14457;BCL2_HUMAN;;441541
Q14457;BCL2_HUMAN;;442458
Q14457;BCL2_HUMAN;;442530
Q14457;BCL2_HUMAN;;442583
Q14457;BCL2_HUMAN;;442793
Q14457;BCL2_HUMAN;;443495
