protein,cid,interaction,prob
CDN2A,439685,0,0.22
CDN2A,5282745,0,0.04
CDN2A,2879,0,0.12
CDN2A,1032,0,0.0
CDN2A,46936757,0,0.04
CDN2A,19,0,0.12
CDN2A,14969,0,0.16
CDN2A,2969,0,0.12
CDN2A,6590,0,0.12
CDN2A,10430,0,0.12
CDN2A,440995,0,0.0
CDN2A,439260,0,0.14
CDN2A,8617,0,0.1
CDN2A,1135,0,0.22
CDN2A,7991,0,0.12
CDN2A,3715,0,0.5
CDN2A,5770,0,0.36
CDN2A,1176,0,0.32
CDN2A,936,0,0.18
CDN2A,12530,0,0.12
CDN2A,443884,0,0.06
CDN2A,440473,0,0.12
CDN2A,1549107,0,0.06
CDN2A,174174,0,0.04
CDN2A,1491,0,0.02
CDN2A,647,0,0.1
CDN2A,5326566,0,0.16
CDN2A,7997,0,0.16
CDN2A,1005,0,0.06
CDN2A,757,0,0.06
CDN2A,24417,0,0.5
CDN2A,46936732,0,0.34
CDN2A,1123,0,0.16
CDN2A,6047,0,0.08
CDN2A,441478,0,0.3
CDN2A,6581,0,0.0
CDN2A,11047943,0,0.12
CDN2A,9294,0,0.26
CDN2A,31721,0,0.3
CDN2A,3007,0,0.48
CDN2A,10836,1,0.64
CDN2A,342,0,0.26
CDN2A,3631,0,0.12
CDN2A,6013,0,0.06
CDN2A,6128,0,0.16
CDN2A,3662,0,0.08
CDN2A,9750,0,0.12
CDN2A,5288826,0,0.0
IGF1,5870,1,0.56
IGF1,445154,1,0.92
IGF1,46937002,1,0.76
IGF1,46936193,0,0.1
IGF1,54675858,0,0.18
IGF1,5280961,1,0.62
IGF1,2519,1,0.66
IGF1,2153,1,0.6
IGF1,5429,1,0.6
IGF1,2353,0,0.4
IGF1,5994,1,0.54
IGF1,10235,0,0.26
IGF1,1060,0,0.22
IGF1,5280934,0,0.24
IGF1,6054,1,0.58
IGF1,119205,0,0.32
IGF1,637517,0,0.26
IGF1,996,1,1.0
IGF1,439246,1,0.64
IGF1,3034034,0,0.3
IGF1,1130,0,0.28
IGF1,3893,0,0.38
IGF1,12620,1,0.76
IGF1,444294,0,0.44
IGF1,14985,1,0.56
IGF1,338,0,0.02
IGF1,5280863,1,0.72
IGF1,446220,0,0.14
IGF1,702,1,0.96
IGF1,3776,1,0.74
IGF1,5280343,1,0.7
IGF1,6305,0,0.2
IGF1,107971,0,0.1
IGF1,6274,0,0.22
IGF1,6267,0,0.24
IGF1,5962,0,0.16
IGF1,5862,0,0.14
IGF1,33032,0,0.32
IGF1,1174,1,0.76
IGF1,453551,0,0.34
IGF1,1110,0,0.4
IGF1,938,0,0.32
IGF1,7478,0,0.22
IGF1,10133,0,0.16
IGF1,31401,0,0.16
IGF1,221493,0,0.16
IGF1,79034,0,0.36
IGF1,60961,1,0.8
IGF1,3000322,0,0.24
IGF1,5281672,0,0.2
IGF1,1045,0,0.22
IGF1,199,0,0.22
IGF1,1103,0,0.14
IGF1,785,1,0.94
IGF1,3000346,0,0.34
IGF1,998,0,0.14
IGF1,46936484,1,0.78
IGF1,955,0,0.36
IGF1,243,0,0.14
IGF1,1102,0,0.1
IGF1,971,0,0.14
IGF1,25322948,0,0.4
IGF1,681,1,0.68
IGF1,9996708,1,0.7
IGF1,750,0,0.16
IGF1,444863,1,0.82
IGF1,26470759,0,0.42
IGF1,289,1,0.9
IGF1,8969,0,0.26
IGF1,1054,0,0.46
IGF1,5281855,1,0.54
IGF1,72281,0,0.36
IGF1,54670067,1,0.82
IGF1,145742,0,0.4
IGF1,942,1,0.88
IGF1,3532,0,0.4
IGF1,2230,0,0.22
IGF1,379,0,0.38
IGF1,6137,1,0.98
IGF1,16666,1,0.62
IGF1,5283731,1,0.72
IGF1,5280795,1,0.62
IGF1,3182,0,0.5
IGF1,311,0,0.3
IGF1,6089,0,0.1
IGF1,441074,0,0.3
IGF1,612,0,0.36
IGF1,6057,0,0.3
IGF1,6912,1,0.84
IGF1,5960,0,0.12
IGF1,5951,0,0.26
IGF1,6288,0,0.34
IGF1,6287,0,0.42
IGF1,6106,0,0.3
IGF1,239,0,0.22
IGF1,5950,0,0.24
IGF1,154417,0,0.24
IGF1,6140,0,0.14
IGF1,46936492,0,0.4
IGF1,5978,1,0.74
IGF1,241903,1,0.52
IGF1,6021,0,0.4
IGF1,190,0,0.3
IGF1,790,1,0.72
IGF1,1031,1,0.76
IGF1,445354,1,0.6
IGF1,6037,0,0.42
IGF1,493570,0,0.34
IGF1,448751,0,0.1
IGF1,385,0,0.3
IGF1,760,0,0.1
IGF1,743,0,0.5
IGF1,7054,0,0.24
IGF1,264,1,0.62
IGF1,47936,0,0.4
IGF1,439685,0,0.48
IGF1,5282745,0,0.24
IGF1,2879,1,0.88
IGF1,1032,0,0.22
IGF1,46936757,0,0.42
IGF1,19,0,0.04
IGF1,14969,0,0.32
IGF1,2969,0,0.38
IGF1,6590,0,0.34
IGF1,10430,1,0.58
IGF1,440995,1,0.88
IGF1,439260,1,0.76
IGF1,8617,0,0.16
IGF1,1135,1,0.64
IGF1,7991,1,0.56
IGF1,3715,1,0.86
IGF1,5770,0,0.06
IGF1,1176,0,0.2
IGF1,936,0,0.14
IGF1,12530,0,0.38
IGF1,443884,0,0.18
IGF1,440473,0,0.36
IGF1,1549107,0,0.32
IGF1,174174,0,0.24
IGF1,1491,0,0.08
IGF1,647,0,0.5
IGF1,5326566,0,0.2
IGF1,7997,0,0.4
IGF1,1005,1,0.54
IGF1,757,0,0.34
IGF1,24417,1,0.9
IGF1,46936732,1,0.54
IGF1,1123,0,0.22
IGF1,6047,0,0.32
IGF1,441478,0,0.42
IGF1,6581,0,0.38
IGF1,11047943,0,0.24
IGF1,9294,1,0.74
IGF1,31721,0,0.4
IGF1,3007,0,0.16
IGF1,10836,0,0.2
IGF1,342,1,0.84
IGF1,3631,0,0.22
IGF1,6013,1,0.88
IGF1,6128,1,0.56
IGF1,3662,1,0.52
IGF1,9750,0,0.32
IGF1,5288826,0,0.32
KLOT,5870,0,0.02
KLOT,445154,1,0.6
KLOT,46937002,0,0.24
KLOT,46936193,0,0.02
KLOT,54675858,0,0.0
KLOT,5280961,0,0.02
KLOT,2519,0,0.42
KLOT,2153,0,0.46
KLOT,5429,0,0.4
KLOT,2353,0,0.06
KLOT,5994,0,0.04
KLOT,10235,0,0.14
KLOT,1060,0,0.02
KLOT,5280934,0,0.02
KLOT,6054,0,0.12
KLOT,119205,0,0.0
KLOT,637517,0,0.02
KLOT,996,0,0.08
KLOT,439246,0,0.0
KLOT,3034034,0,0.06
KLOT,1130,0,0.12
KLOT,3893,0,0.0
KLOT,12620,0,0.02
KLOT,444294,0,0.2
KLOT,14985,0,0.24
KLOT,338,0,0.0
KLOT,5280863,0,0.0
KLOT,446220,0,0.06
KLOT,702,0,0.5
KLOT,3776,0,0.26
KLOT,5280343,0,0.0
KLOT,6305,0,0.14
KLOT,107971,0,0.02
KLOT,6274,0,0.2
KLOT,6267,0,0.14
KLOT,5962,0,0.12
KLOT,5862,0,0.26
KLOT,33032,0,0.12
KLOT,1174,0,0.02
KLOT,453551,0,0.04
KLOT,1110,0,0.0
KLOT,938,0,0.06
KLOT,7478,0,0.0
KLOT,10133,0,0.02
KLOT,31401,0,0.02
KLOT,221493,0,0.02
KLOT,79034,0,0.02
KLOT,60961,0,0.0
KLOT,3000322,0,0.02
KLOT,5281672,0,0.0
KLOT,1045,0,0.3
KLOT,199,0,0.3
KLOT,1103,0,0.16
KLOT,785,0,0.06
KLOT,3000346,0,0.1
KLOT,998,0,0.18
KLOT,46936484,0,0.0
KLOT,955,0,0.08
KLOT,243,0,0.0
KLOT,1102,0,0.26
KLOT,971,0,0.0
KLOT,25322948,0,0.0
KLOT,681,0,0.02
KLOT,9996708,0,0.02
KLOT,750,0,0.24
KLOT,444863,0,0.0
KLOT,26470759,0,0.04
KLOT,289,0,0.1
KLOT,8969,0,0.02
KLOT,1054,0,0.14
KLOT,5281855,0,0.04
KLOT,72281,0,0.0
KLOT,54670067,0,0.02
KLOT,145742,0,0.26
KLOT,942,0,0.16
KLOT,3532,0,0.12
KLOT,2230,0,0.0
KLOT,379,0,0.0
KLOT,6137,0,0.04
KLOT,16666,0,0.04
KLOT,5283731,1,0.64
KLOT,5280795,1,0.76
KLOT,3182,0,0.28
KLOT,311,0,0.06
KLOT,6089,0,0.02
KLOT,441074,0,0.06
KLOT,612,0,0.04
KLOT,6057,0,0.02
KLOT,6912,0,0.06
KLOT,5960,0,0.16
KLOT,5951,0,0.24
KLOT,6288,0,0.12
KLOT,6287,0,0.12
KLOT,6106,0,0.08
KLOT,239,0,0.2
KLOT,5950,0,0.22
KLOT,154417,0,0.02
KLOT,6140,0,0.0
KLOT,46936492,0,0.06
KLOT,5978,0,0.12
KLOT,241903,0,0.1
KLOT,6021,0,0.06
KLOT,190,0,0.02
KLOT,790,0,0.02
KLOT,1031,0,0.2
KLOT,445354,0,0.2
KLOT,6037,0,0.26
KLOT,493570,0,0.04
KLOT,448751,0,0.04
KLOT,385,0,0.06
KLOT,760,0,0.32
KLOT,743,0,0.04
KLOT,7054,0,0.0
KLOT,264,0,0.0
KLOT,47936,0,0.16
KLOT,439685,0,0.22
KLOT,5282745,0,0.02
KLOT,2879,0,0.04
KLOT,1032,0,0.0
KLOT,46936757,0,0.2
KLOT,19,0,0.0
KLOT,14969,0,0.04
KLOT,2969,0,0.0
KLOT,6590,0,0.02
KLOT,10430,0,0.0
KLOT,440995,0,0.0
KLOT,439260,0,0.02
KLOT,8617,0,0.04
KLOT,1135,0,0.02
KLOT,7991,0,0.04
KLOT,3715,0,0.18
KLOT,5770,0,0.08
KLOT,1176,0,0.26
KLOT,936,0,0.16
KLOT,12530,0,0.0
KLOT,443884,0,0.04
KLOT,440473,0,0.1
KLOT,1549107,0,0.16
KLOT,174174,0,0.02
KLOT,1491,0,0.0
KLOT,647,0,0.02
KLOT,5326566,0,0.04
KLOT,7997,0,0.04
KLOT,1005,0,0.14
KLOT,757,0,0.08
KLOT,24417,0,0.06
KLOT,46936732,0,0.06
KLOT,1123,0,0.14
KLOT,6047,0,0.02
KLOT,441478,0,0.04
KLOT,6581,0,0.04
KLOT,11047943,0,0.0
KLOT,9294,0,0.04
KLOT,31721,0,0.04
KLOT,3007,0,0.06
KLOT,10836,0,0.08
KLOT,342,0,0.06
KLOT,3631,0,0.08
KLOT,6013,0,0.04
KLOT,6128,0,0.04
KLOT,3662,0,0.04
KLOT,9750,0,0.4
KLOT,5288826,0,0.0
SIR1,5870,1,0.68
SIR1,445154,1,0.9
SIR1,46937002,1,0.96
SIR1,46936193,1,0.82
SIR1,54675858,1,0.58
SIR1,5280961,1,0.96
SIR1,2519,1,0.94
SIR1,2153,1,0.84
SIR1,5429,1,0.84
SIR1,2353,1,0.7
SIR1,5994,0,0.36
SIR1,10235,1,0.6
SIR1,1060,1,0.84
SIR1,5280934,1,0.9
SIR1,6054,1,0.8
SIR1,119205,1,0.64
SIR1,637517,1,0.92
SIR1,996,1,0.98
SIR1,439246,1,0.92
SIR1,3034034,1,0.6
SIR1,1130,1,0.56
SIR1,3893,1,0.88
SIR1,12620,1,0.78
SIR1,444294,0,0.48
SIR1,14985,1,0.84
SIR1,338,0,0.46
SIR1,5280863,1,0.94
SIR1,446220,0,0.34
SIR1,702,1,0.84
SIR1,3776,1,0.8
SIR1,5280343,1,0.96
SIR1,6305,1,0.64
SIR1,107971,1,0.92
SIR1,6274,0,0.5
SIR1,6267,0,0.32
SIR1,5962,0,0.32
SIR1,5862,0,0.08
SIR1,33032,1,0.54
SIR1,1174,0,0.5
SIR1,453551,0,0.26
SIR1,1110,1,0.78
SIR1,938,1,0.56
SIR1,7478,0,0.34
SIR1,10133,1,0.8
SIR1,31401,1,0.8
SIR1,221493,1,0.8
SIR1,79034,1,0.78
SIR1,60961,1,0.82
SIR1,3000322,0,0.5
SIR1,5281672,1,0.86
SIR1,1045,0,0.08
SIR1,199,0,0.28
SIR1,1103,0,0.14
SIR1,785,1,0.98
SIR1,3000346,0,0.3
SIR1,998,1,0.52
SIR1,46936484,1,0.84
SIR1,955,0,0.3
SIR1,243,0,0.3
SIR1,1102,0,0.06
SIR1,971,1,0.62
SIR1,25322948,1,0.82
SIR1,681,1,0.76
SIR1,9996708,1,0.82
SIR1,750,1,0.52
SIR1,444863,1,0.92
SIR1,26470759,1,0.7
SIR1,289,1,1.0
SIR1,8969,1,0.54
SIR1,1054,0,0.5
SIR1,5281855,1,0.6
SIR1,72281,1,0.62
SIR1,54670067,1,0.56
SIR1,145742,1,0.56
SIR1,942,1,0.98
SIR1,3532,0,0.4
SIR1,2230,1,0.58
SIR1,379,1,0.88
SIR1,6137,0,0.34
SIR1,16666,1,0.74
SIR1,5283731,1,0.96
SIR1,5280795,1,0.92
SIR1,3182,1,0.7
SIR1,311,1,0.68
SIR1,6089,1,0.9
SIR1,441074,1,0.6
SIR1,612,1,0.68
SIR1,6057,0,0.46
SIR1,6912,1,0.9
SIR1,5960,0,0.26
SIR1,5951,0,0.4
SIR1,6288,1,0.54
SIR1,6287,0,0.46
SIR1,6106,0,0.48
SIR1,239,0,0.42
SIR1,5950,0,0.44
SIR1,154417,1,0.54
SIR1,6140,0,0.4
SIR1,46936492,1,0.62
SIR1,5978,1,0.74
SIR1,241903,1,0.56
SIR1,6021,1,0.66
SIR1,190,1,0.6
SIR1,790,1,0.98
SIR1,1031,1,0.78
SIR1,445354,1,0.58
SIR1,6037,1,0.66
SIR1,493570,0,0.44
SIR1,448751,1,0.8
SIR1,385,1,0.76
SIR1,760,1,0.62
SIR1,743,1,0.84
SIR1,7054,1,0.78
SIR1,264,1,0.94
SIR1,47936,1,0.96
SIR1,439685,1,0.64
SIR1,5282745,1,0.9
SIR1,2879,1,0.82
SIR1,1032,1,0.96
SIR1,46936757,1,0.96
SIR1,19,1,0.54
SIR1,14969,0,0.36
SIR1,2969,1,0.88
SIR1,6590,1,0.88
SIR1,10430,1,0.9
SIR1,440995,1,0.92
SIR1,439260,1,0.76
SIR1,8617,1,0.54
SIR1,1135,1,0.6
SIR1,7991,1,0.9
SIR1,3715,1,0.74
SIR1,5770,0,0.42
SIR1,1176,0,0.4
SIR1,936,1,0.8
SIR1,12530,1,0.88
SIR1,443884,1,0.66
SIR1,440473,0,0.44
SIR1,1549107,1,0.52
SIR1,174174,1,0.54
SIR1,1491,0,0.42
SIR1,647,1,0.58
SIR1,5326566,1,0.66
SIR1,7997,1,0.76
SIR1,1005,1,0.58
SIR1,757,1,0.68
SIR1,24417,0,0.36
SIR1,46936732,1,0.52
SIR1,1123,0,0.44
SIR1,6047,0,0.44
SIR1,441478,1,0.7
SIR1,6581,1,0.7
SIR1,11047943,0,0.5
SIR1,9294,1,0.62
SIR1,31721,1,0.74
SIR1,3007,1,0.82
SIR1,10836,1,0.96
SIR1,342,1,0.84
SIR1,3631,1,0.64
SIR1,6013,1,0.96
SIR1,6128,0,0.36
SIR1,3662,1,0.94
SIR1,9750,0,0.4
SIR1,5288826,1,0.54
SIR2,5870,1,0.54
SIR2,445154,1,0.78
SIR2,46937002,0,0.16
SIR2,46936193,0,0.12
SIR2,54675858,0,0.1
SIR2,5280961,0,0.06
SIR2,2519,1,0.8
SIR2,2153,1,0.62
